name,num_of_errors
TSha_9_1.txt,4
VKo_10_1.txt,1
VKo_11_1.txt,0
VKo_12_1.txt,0
VKo_13_1.txt,0
VKo_14_1.txt,0
VKo_15_1.txt,0
VKo_16_1.txt,0
VKo_17_1.txt,0
VKo_18_1.txt,0
VKo_19_1.txt,3
VKo_1_1.txt,2
VKo_20_1.txt,0
VKo_21_1.txt,0
VKo_22_1.txt,0
VKo_23_1.txt,0
VKo_24_1.txt,0
VKo_25_1.txt,0
VKo_26_1.txt,0
VKo_27_1.txt,0
VKo_28_1.txt,0
VKo_29_1.txt,0
VKo_2_1.txt,0
VKo_30_1.txt,0
VKo_31_1.txt,0
VKo_32_1.txt,2
VKo_33_1.txt,0
VKo_34_1.txt,0
VKo_35_1.txt,0
VKo_36_1.txt,0
VKo_37_1.txt,0
VKo_38_1.txt,0
VKo_39_1.txt,0
VKo_3_1.txt,0
VKo_4_1.txt,0
VKo_5_1.txt,0
VKo_6_1.txt,0
VKo_7_1.txt,1
VKo_8_1.txt,1
VKo_9_1.txt,0
VPe_10_1.txt,3
VPe_11_1.txt,0
VPe_12_1.txt,6
VPe_13_1.txt,0
VPe_14_1.txt,0
VPe_15_1.txt,0
VPe_16_1.txt,0
VPe_17_1.txt,1
VPe_18_1.txt,1
VPe_19_1.txt,1
VPe_1_1.txt,0
VPe_20_1.txt,0
VPe_21_1.txt,1
VPe_22_1.txt,1
VPe_23_1.txt,1
VPe_24_1.txt,1
VPe_25_1.txt,3
VPe_26_1.txt,2
VPe_27_1.txt,2
VPe_28_1.txt,2
VPe_29_1.txt,0
VPe_2_1.txt,2
VPe_30_1.txt,1
VPe_31_1.txt,1
VPe_32_1.txt,2
VPe_33_1.txt,2
VPe_34_1.txt,0
VPe_35_1.txt,2
VPe_36_1.txt,0
VPe_37_1.txt,1
VPe_38_1.txt,0
VPe_39_1.txt,2
VPe_3_1.txt,0
VPe_40_1.txt,5
VPe_41_1.txt,2
VPe_42_1.txt,1
VPe_43_1.txt,2
VPe_44_1.txt,2
VPe_45_1.txt,2
VPe_46_1.txt,1
VPe_47_1.txt,1
VPe_48_1.txt,0
VPe_49_1.txt,0
VPe_4_1.txt,0
VPe_50_1.txt,0
VPe_51_1.txt,0
VPe_52_1.txt,0
VPe_53_1.txt,0
VPe_54_1.txt,0
VPe_5_1.txt,0
VPe_6_1.txt,0
VPe_7_1.txt,0
VPe_8_1.txt,0
VPe_9_1.txt,0
ZEv_10_1.txt,2
ZEv_11_1.txt,0
ZEv_12_1.txt,1
ZEv_13_1.txt,0
ZEv_14_1.txt,0
ZEv_15_1.txt,0
ZEv_16_1.txt,1
ZEv_17_1.txt,1
ZEv_18_1.txt,1
ZEv_19_1.txt,2
ZEv_1_1.txt,2
ZEv_20_1.txt,0
ZEv_21_1.txt,1
ZEv_22_1.txt,2
ZEv_23_1.txt,1
ZEv_24_1.txt,0
ZEv_25_1.txt,0
ZEv_26_1.txt,0
ZEv_27_1.txt,0
ZEv_28_1.txt,0
ZEv_29_1.txt,3
ZEv_2_1.txt,0
ZEv_30_1.txt,1
ZEv_31_1.txt,0
ZEv_32_1.txt,2
ZEv_33_1.txt,0
ZEv_34_1.txt,3
ZEv_35_1.txt,1
ZEv_36_1.txt,0
ZEv_37_1.txt,0
ZEv_3_1.txt,0
ZEv_4_1.txt,1
ZEv_5_1.txt,0
ZEv_6_1.txt,0
ZEv_7_1.txt,2
ZEv_8_1.txt,1
ZEv_9_1.txt,2
